Time;Head;Neck;Spine Shoulder;Spine Mid;Spine Base;R Shoulder;L Shoulder;R Elbow;L Elbow;R Wrist;L Wrist;R Hand;L Hand;R Foot;L Foot;Frame No.;
1525196114099;0.420096 0.270068 2.24578;0.466437 0.126137 2.2878;0.463431 0.0572465 2.29116;0.450942 -0.152748 2.29263;0.429882 -0.438054 2.28393;0.604543 0.0344751 2.26147;0.297903 0.084343 2.35566;0.711185 -0.175134 2.26147;0.11609 0.155958 2.27272;0.769246 -0.385466 2.09312;0.260102 0.306795 2.28521;0.766693 -0.444278 2.03014;0.296618 0.326321 2.26519;0.534466 -1.25237 2.20018;0.244342 -1.26175 2.17024;0;
1525196114292;0.365939 0.273163 2.25357;0.438514 0.127737 2.28862;0.436752 0.0585292 2.29061;0.429395 -0.152531 2.28825;0.415643 -0.439125 2.2762;0.567285 0.0444811 2.26664;0.264307 0.0737701 2.34642;0.710316 -0.168666 2.26664;0.0759074 0.131764 2.27053;0.780886 -0.305911 2.10274;0.2398 0.29381 2.29233;0.785494 -0.37086 1.99439;0.264342 0.301206 2.27199;0.534521 -1.25268 2.19987;0.244399 -1.25962 2.17129;1;
1525196114330;0.36508 0.274598 2.25274;0.435362 0.128744 2.28819;0.433399 0.0594278 2.29003;0.425427 -0.152051 2.28697;0.411487 -0.439479 2.2736;0.566331 0.0445272 2.26648;0.262529 0.0729631 2.34522;0.710287 -0.166608 2.26648;0.0658252 0.101101 2.27597;0.787268 -0.296273 2.10259;0.194985 0.255872 2.28559;0.793808 -0.34825 1.98271;0.247562 0.282834 2.28257;0.534803 -1.25629 2.19923;0.244424 -1.25726 2.17229;2;
1525196114386;0.365235 0.275692 2.25287;0.433024 0.129765 2.28791;0.430963 0.0603408 2.28966;0.422739 -0.151505 2.28623;0.408809 -0.439526 2.27222;0.566018 0.0442699 2.26656;0.26008 0.0722806 2.34511;0.712978 -0.155263 2.26656;0.0597574 0.0690882 2.28412;0.816427 -0.24844 2.09682;0.196314 0.255363 2.28397;0.815479 -0.282016 1.95399;0.238334 0.277767 2.27089;0.534855 -1.25568 2.19966;0.244832 -1.25334 2.17464;3;
1525196114528;0.377067 0.282485 2.25368;0.430539 0.131856 2.28816;0.428563 0.0620508 2.2897;0.420512 -0.150736 2.28566;0.406575 -0.439869 2.27065;0.566857 0.0437532 2.26696;0.258326 0.0695077 2.34344;0.730133 -0.120656 2.26696;0.0613883 0.021526 2.29669;0.841381 -0.139203 2.07008;0.103255 0.209457 2.22443;0.834551 -0.10625 1.92619;0.125439 0.255808 2.22078;0.534602 -1.25647 2.20088;0.244367 -1.25312 2.17483;4;
1525196114551;0.380474 0.284053 2.2539;0.428797 0.133009 2.28832;0.426764 0.0631141 2.28971;0.418579 -0.149992 2.28514;0.404616 -0.439625 2.2693;0.568193 0.0437787 2.26867;0.257331 0.0680624 2.34208;0.732367 -0.117112 2.26867;0.0611279 0.0175591 2.29773;0.839951 -0.118845 2.0651;0.0983975 0.204883 2.22217;0.830199 -0.0640998 1.93215;0.112476 0.252757 2.21035;0.535024 -1.25612 2.20052;0.244587 -1.25093 2.17681;5;
1525196114686;0.389038 0.288564 2.25811;0.42768 0.134917 2.28846;0.425756 0.0646652 2.28962;0.41783 -0.149239 2.2845;0.40403 -0.439635 2.26755;0.569426 0.0434588 2.26989;0.256756 0.0659406 2.3391;0.748896 -0.0967255 2.26989;0.0648578 0.0018905 2.29591;0.81435 -0.032537 2.02003;0.0918403 0.18999 2.20343;0.79511 0.0671238 2.00173;0.10803 0.236679 2.19518;0.535222 -1.25719 2.20149;0.244194 -1.25124 2.17744;6;
1525196114751;0.39577 0.291796 2.2636;0.427678 0.136558 2.2893;0.425731 0.065921 2.2901;0.417813 -0.148807 2.28434;0.404191 -0.439721 2.26626;0.570814 0.0428969 2.2709;0.256506 0.064289 2.3367;0.750524 -0.0906012 2.2709;0.0671032 -0.00534985 2.29316;0.78223 0.0499246 2.0696;0.0897002 0.178301 2.19727;0.771156 0.127984 2.02406;0.11473 0.234288 2.19662;0.535123 -1.25705 2.20166;0.24355 -1.25175 2.17846;7;
1525196114784;0.399845 0.294227 2.26713;0.427676 0.13849 2.29002;0.425682 0.0675254 2.29056;0.417725 -0.14813 2.28418;0.404144 -0.439688 2.26545;0.571966 0.0420275 2.27211;0.256543 0.0636689 2.33545;0.753721 -0.083418 2.27211;0.0688811 -0.00930171 2.29189;0.774736 0.0722038 2.06943;0.089421 0.175117 2.19586;0.763566 0.145661 2.03612;0.116666 0.234069 2.19617;0.535257 -1.25773 2.20114;0.243445 -1.25224 2.17875;8;
1525196115052;0.439947 0.306761 2.29153;0.430639 0.144042 2.29503;0.428606 0.072174 2.29426;0.420453 -0.145849 2.2848;0.408638 -0.439387 2.26299;0.58743 0.0398322 2.27713;0.260781 0.0621218 2.33348;0.776303 -0.0297864 2.27713;0.0720598 -0.00811391 2.29227;0.753581 0.184943 2.09109;0.0896266 0.177487 2.19801;0.736043 0.235079 2.0846;0.113019 0.245662 2.20746;0.535689 -1.25776 2.20098;0.243274 -1.25244 2.17787;9;
