Time;Head;Neck;Spine Shoulder;Spine Mid;Spine Base;R Shoulder;L Shoulder;R Elbow;L Elbow;R Wrist;L Wrist;R Hand;L Hand;R Hand Tip;L Hand Tip;R Thumb;L Thumb;R Hip;L Hip;R Knee;L Knee;R Ankle;L Ankle;R Foot;L Foot;Frame No.;
1525193537942;0.131681 0.371722 2.0508;0.129037 0.211227 2.06169;0.124296 0.136381 2.06145;0.109781 -0.0938653 2.05194;0.0932945 -0.408251 2.02761;0.291023 0.113756 2.05522;-0.0527252 0.13346 2.09201;0.486821 0.132805 2.05522;-0.291361 0.121862 2.05623;0.38664 0.332782 1.97742;-0.187562 0.325761 1.95909;0.343018 0.393041 1.99408;-0.160509 0.373082 1.95739;0.301265 0.454122 2.00333;-0.122503 0.446307 1.94985;0.363473 0.420209 1.95265;-0.198829 0.393502 1.93707;0.173089 -0.405325 1.98637;0.0106357 -0.396152 1.99633;0.199825 -0.724184 1.93344;0.0146271 -0.74668 2.00843;0.235167 -1.09303 1.99487;0.0537865 -1.12357 2.06409;0.220439 -1.12051 1.85874;0.041965 -1.15105 1.92774;0;
1525193538050;0.236004 0.348359 2.06201;0.221071 0.193798 2.07321;0.215191 0.121377 2.07379;0.196176 -0.100837 2.06571;0.169085 -0.404765 2.04371;0.381391 0.129177 2.07084;0.0413758 0.136813 2.10882;0.529156 0.243586 2.07084;-0.179246 0.153036 2.07891;0.406354 0.36643 2.06426;-0.080897 0.358109 1.98378;0.361579 0.373479 2.06999;-0.0222158 0.382517 1.99102;0.342409 0.422418 2.08068;0.0281289 0.438422 1.98224;0.393022 0.393583 2.05455;-0.0415649 0.428869 1.96722;0.246142 -0.399365 2.00123;0.0860156 -0.395779 2.01355;0.284049 -0.738478 1.96561;0.0570916 -0.731815 2.00817;0.319403 -1.10402 2.03148;0.0621674 -1.1231 2.07076;0.303047 -1.12959 1.90066;0.0498072 -1.14854 1.93963;1;
1525193538187;0.264082 0.346404 2.05223;0.238228 0.193714 2.06587;0.23084 0.121486 2.06757;0.207711 -0.10024 2.06235;0.176317 -0.4037 2.04301;0.400273 0.127404 2.06935;0.0610886 0.136145 2.09679;0.539043 0.242387 2.06935;-0.160074 0.157669 2.07385;0.413794 0.362124 2.05863;-0.0139077 0.344 1.99135;0.379865 0.367305 2.04786;0.0219646 0.378943 1.98909;0.341033 0.459571 2.06202;0.0722904 0.427024 1.97725;0.406297 0.388248 2.04531;-0.00570178 0.408949 1.96854;0.253239 -0.398499 2.00121;0.0931941 -0.3946 2.01246;0.287634 -0.737566 1.96679;0.0545892 -0.729256 2.03035;0.319948 -1.10329 2.03162;0.0658755 -1.11686 2.06921;0.307032 -1.12784 1.90392;0.0568891 -1.14133 1.94118;2;
1525193538249;0.280807 0.348945 2.048;0.24685 0.194898 2.06101;0.239533 0.122698 2.06339;0.216323 -0.0988819 2.06036;0.184591 -0.401939 2.04423;0.410278 0.126559 2.06879;0.0767154 0.140955 2.08424;0.551498 0.237558 2.06879;-0.12796 0.192934 2.04935;0.446783 0.371964 2.06066;-0.00527129 0.345899 1.98958;0.411193 0.372807 2.05769;0.0401285 0.378002 1.98408;0.399398 0.418883 2.0643;0.0954219 0.427383 1.9725;0.451638 0.375858 2.0404;0.0154557 0.410408 1.96474;0.26139 -0.397719 2.00374;0.101548 -0.391932 2.01268;0.295867 -0.734542 1.96567;0.0575298 -0.73092 2.03786;0.325556 -1.10417 2.02901;0.0663916 -1.11612 2.06879;0.316293 -1.1281 1.90362;0.0611255 -1.14001 1.94305;3;
1525193538282;0.290017 0.34835 2.04386;0.254139 0.19576 2.05685;0.246702 0.123524 2.0599;0.223058 -0.0981078 2.05885;0.190719 -0.401098 2.04537;0.415534 0.126293 2.06785;0.0817455 0.142391 2.0782;0.566396 0.225416 2.06785;-0.127069 0.194225 2.04759;0.458282 0.358763 2.05386;-0.0039121 0.344751 1.98857;0.424284 0.370507 2.05689;0.0476167 0.378545 1.98065;0.408856 0.418021 2.06025;0.101904 0.428048 1.97311;0.370614 0.346403 1.98313;0.032124 0.418535 1.96075;0.267373 -0.398763 2.00617;0.108128 -0.389178 2.01285;0.309776 -0.730375 1.95617;0.0788815 -0.721104 2.01528;0.327288 -1.10532 2.0298;0.068204 -1.11308 2.06921;0.319556 -1.12899 1.90586;0.0644541 -1.13675 1.94489;4;
1525193538316;0.298329 0.34732 2.03986;0.258732 0.195248 2.05487;0.251475 0.123091 2.0583;0.228435 -0.0982767 2.05858;0.196957 -0.400809 2.04756;0.423296 0.127646 2.06781;0.0868714 0.143405 2.07321;0.574686 0.222517 2.06781;-0.123972 0.197286 2.04241;0.473179 0.360366 2.05404;-0.00209196 0.342537 1.986;0.444733 0.36244 2.05674;0.0561554 0.37894 1.97702;0.415282 0.412683 2.05238;0.111606 0.431215 1.96906;0.375708 0.325787 1.99392;0.0411811 0.41905 1.95427;0.273961 -0.400193 2.01047;0.113914 -0.387522 2.01349;0.315439 -0.729124 1.9537;0.0803656 -0.719919 2.01486;0.370716 -1.09603 2.00261;0.0691721 -1.11034 2.06948;0.309997 -1.15223 2.0219;0.06678 -1.13443 1.94501;5;
1525193538348;0.307065 0.34465 2.03518;0.263916 0.194091 2.05202;0.256762 0.121901 2.05592;0.233988 -0.0995607 2.05767;0.202707 -0.402249 2.04875;0.429405 0.12626 2.06564;0.0953124 0.142232 2.06671;0.581207 0.220355 2.06564;-0.121003 0.197202 2.03783;0.475863 0.356148 2.05256;3.59511e-06 0.338955 1.98165;0.450107 0.359564 2.05345;0.0652981 0.378274 1.97081;0.426253 0.414229 2.05627;0.122066 0.430282 1.96488;0.38578 0.327045 1.98541;0.0478825 0.414595 1.9491;0.2795 -0.402366 2.01242;0.119228 -0.388194 2.01394;0.322461 -0.733188 1.9522;0.0864728 -0.722567 2.01757;0.377496 -1.0984 1.99857;0.0697334 -1.10998 2.06978;0.371542 -1.12177 1.87684;0.068543 -1.13344 1.94748;6;
1525193538416;0.324938 0.334862 2.02283;0.287921 0.182299 2.04287;0.28017 0.11084 2.04819;0.255323 -0.108465 2.05405;0.220795 -0.408492 2.04992;0.448907 0.120136 2.05929;0.114699 0.138315 2.05782;0.592994 0.217945 2.05929;-0.106625 0.188418 2.02557;0.480985 0.348946 2.04909;0.0597783 0.354647 1.96181;0.452713 0.354006 2.04326;0.090958 0.385437 1.95875;0.441041 0.394156 2.0376;0.141841 0.424129 1.94595;0.401506 0.32307 1.9742;0.0690933 0.419983 1.93717;0.296204 -0.408442 2.01317;0.137625 -0.394298 2.01561;0.34202 -0.74532 1.95588;0.110442 -0.734023 2.02821;0.398087 -1.09488 1.99338;0.0796174 -1.11402 2.07474;0.392526 -1.11801 1.87376;0.0789849 -1.13721 1.95452;7;
1525193538449;0.330908 0.333247 2.01937;0.29478 0.180373 2.03829;0.287382 0.108647 2.04421;0.263725 -0.111452 2.05201;0.231141 -0.412604 2.05121;0.460585 0.117401 2.05501;0.124636 0.136388 2.05468;0.607266 0.218444 2.05501;-0.0967165 0.181684 2.02313;0.493359 0.347791 2.04608;0.0620138 0.354729 1.96022;0.463106 0.352393 2.03854;0.0959743 0.382959 1.95335;0.44644 0.394708 2.03202;0.14445 0.421503 1.93721;0.411704 0.324701 1.97021;0.0727036 0.416098 1.93194;0.305349 -0.412306 2.01396;0.148971 -0.398609 2.0176;0.346837 -0.742421 1.95577;0.116968 -0.735018 2.03015;0.399463 -1.09319 1.99398;0.0864637 -1.11685 2.07677;0.393571 -1.11703 1.87375;0.126953 -1.18359 2.07617;8;
1525193538516;0.34781 0.326422 2.0053;0.319876 0.172721 2.02822;0.311677 0.1012 2.03625;0.285672 -0.118204 2.04993;0.250389 -0.418298 2.05616;0.482108 0.111458 2.04215;0.135283 0.133596 2.05218;0.634052 0.219376 2.04215;-0.0734011 0.164788 2.02565;0.526076 0.355761 2.02242;0.0691975 0.346298 1.94991;0.476795 0.359388 2.02262;0.104852 0.374461 1.94126;0.460171 0.397778 2.01996;0.153758 0.417282 1.91825;0.429212 0.329233 1.96314;0.0785958 0.405539 1.92244;0.324594 -0.41744 2.018;0.167571 -0.404762 2.02363;0.358134 -0.738792 1.9628;0.144348 -0.749 2.04486;0.401282 -1.09245 1.99834;0.0994405 -1.12622 2.08194;0.392618 -1.11711 1.87821;0.0954352 -1.15079 1.96129;9;
1525193538550;0.353671 0.323836 2.00196;0.325868 0.171823 2.02723;0.318429 0.100044 2.0355;0.294615 -0.120154 2.05045;0.261497 -0.421116 2.05944;0.487775 0.109755 2.04023;0.158337 0.1282 2.04988;0.639343 0.217791 2.04023;-0.068275 0.160867 2.02807;0.528347 0.350662 2.02177;0.0714538 0.343019 1.94795;0.481693 0.357786 2.0183;0.108862 0.371721 1.94118;0.458215 0.394795 1.99689;0.158905 0.41411 1.91814;0.435043 0.322581 1.95813;0.0853195 0.402894 1.92372;0.33565 -0.420216 2.02191;0.178371 -0.407582 2.02643;0.365666 -0.737522 1.96854;0.147107 -0.748164 2.0451;0.402906 -1.09074 2.0087;0.1048 -1.12416 2.08322;0.394147 -1.1159 1.88842;0.100614 -1.14916 1.96245;10;
1525193538584;0.359652 0.321507 1.99892;0.331849 0.169795 2.02585;0.324709 0.0979144 2.03452;0.301635 -0.122498 2.05088;0.269197 -0.423531 2.06208;0.493649 0.107485 2.03821;0.158168 0.128132 2.04986;0.645608 0.216732 2.03821;-0.0622964 0.1579 2.03241;0.531553 0.345123 2.02045;0.0745469 0.339876 1.94679;0.509011 0.344082 2.01449;0.112548 0.369519 1.94123;0.473878 0.396092 2.01632;0.162067 0.411602 1.91837;0.441319 0.312536 1.95678;0.091992 0.40306 1.9264;0.342417 -0.421937 2.02402;0.186824 -0.41074 2.0298;0.373222 -0.739733 1.97607;0.153777 -0.75164 2.04772;0.403939 -1.09094 2.01094;0.11259 -1.11803 2.08347;0.394677 -1.11643 1.89064;0.107786 -1.14343 1.96266;11;
1525193538617;0.364402 0.317741 1.99575;0.339497 0.166914 2.0256;0.33248 0.0949694 2.03465;0.309582 -0.125536 2.05223;0.276981 -0.42648 2.06504;0.498709 0.105472 2.03665;0.168115 0.124158 2.05062;0.649095 0.215675 2.03665;-0.0559188 0.15559 2.03489;0.532814 0.342035 2.01652;0.0782048 0.338074 1.94573;0.511248 0.340372 2.00993;0.117702 0.366176 1.94054;0.478246 0.386896 2.00653;0.168695 0.409654 1.91572;0.444851 0.313447 1.95167;0.0972322 0.401741 1.92278;0.350149 -0.424991 2.02671;0.194369 -0.413488 2.03314;0.378233 -0.741281 1.98481;0.166268 -0.758063 2.05675;0.405352 -1.09027 2.01496;0.120035 -1.11532 2.08514;0.395356 -1.11606 1.89459;0.145521 -1.17691 2.07076;12;
1525193538650;0.368134 0.314757 1.99345;0.34311 0.164641 2.02517;0.336186 0.0927553 2.0346;0.31367 -0.127607 2.0534;0.281794 -0.428334 2.06823;0.502534 0.102288 2.03564;0.166946 0.124303 2.05086;0.651177 0.214469 2.03564;-0.0508878 0.152965 2.0377;0.535372 0.341932 2.01175;0.0824442 0.334921 1.9466;0.511379 0.337498 2.00583;0.122573 0.363747 1.94235;0.475566 0.381942 1.99838;0.176194 0.408086 1.91986;0.450423 0.304185 1.95482;0.0951873 0.39571 1.92362;0.354503 -0.426394 2.02961;0.199519 -0.415798 2.03673;0.381848 -0.7428 1.99176;0.167366 -0.757553 2.05539;0.408875 -1.09397 2.02371;0.128684 -1.11043 2.08626;0.398636 -1.11948 1.90458;0.165152 -1.18337 2.08626;13;
1525193538716;0.371117 0.30862 1.99449;0.347852 0.160079 2.0273;0.341152 0.0881404 2.03717;0.31921 -0.132267 2.05742;0.287812 -0.432784 2.0742;0.506759 0.0975764 2.0373;0.177374 0.117199 2.05678;0.653736 0.211397 2.0373;-0.0468508 0.151694 2.04136;0.54047 0.343369 2.0035;0.0892411 0.331982 1.95102;0.494294 0.35557 2.01047;0.130752 0.36227 1.94916;0.449104 0.386758 1.97113;0.184047 0.406528 1.92578;0.449952 0.345336 1.9512;0.108942 0.396142 1.9316;0.361143 -0.431425 2.03498;0.204821 -0.419616 2.04345;0.388039 -0.751774 2.00712;0.178468 -0.759953 2.06248;0.41219 -1.10239 2.0416;0.199069 -1.11786 2.12869;0.400711 -1.1279 1.92307;0.147657 -1.20007 2.12143;14;
