Time;Head;Neck;Spine Shoulder;Spine Mid;Spine Base;R Shoulder;L Shoulder;R Elbow;L Elbow;R Wrist;L Wrist;R Hand;L Hand;R Foot;L Foot;Frame No.;
1525195535134;0.254386 0.466428 2.66618;0.260996 0.311697 2.70337;0.262376 0.235126 2.70872;0.265608 0.00101438 2.71498;0.26897 -0.317717 2.71289;0.442757 0.243678 2.70687;0.0892414 0.242129 2.77203;0.583825 0.0753283 2.70687;-0.0392049 0.0635688 2.84947;0.595291 0.232351 2.59996;-0.088508 0.221116 2.69823;0.589417 0.305165 2.562;-0.0981492 0.294568 2.66299;0.493896 -1.29102 2.67773;0.083313 -1.28613 2.70508;0;
1525195535300;0.252423 0.468504 2.67019;0.260659 0.312559 2.70315;0.26201 0.235798 2.70857;0.265158 0.00129192 2.71501;0.268148 -0.317842 2.71311;0.44225 0.243371 2.70691;0.0887542 0.242481 2.77229;0.57579 0.0670154 2.70691;-0.0394644 0.0642762 2.85039;0.594624 0.275165 2.58309;-0.0896828 0.222149 2.6986;0.594067 0.297109 2.56154;-0.102355 0.298923 2.66236;0.494269 -1.29131 2.67793;0.0827892 -1.28552 2.70416;1;
1525195535364;0.24946 0.474088 2.67749;0.26077 0.313776 2.70223;0.261986 0.236635 2.70801;0.264976 0.00144595 2.71505;0.2673 -0.318267 2.7138;0.441555 0.242983 2.70722;0.0884053 0.242714 2.77232;0.59022 0.0260799 2.70722;-0.0564849 0.0599403 2.85179;0.595541 0.246304 2.6054;-0.0923043 0.237829 2.69602;0.599214 0.287592 2.56441;-0.102389 0.302988 2.665;0.494316 -1.29146 2.67792;0.082119 -1.2853 2.70304;2;
1525195535665;0.253004 0.476439 2.68015;0.26055 0.313952 2.70255;0.261649 0.236828 2.70842;0.264039 0.00159519 2.71589;0.265263 -0.318438 2.71549;0.440611 0.24213 2.71013;0.0882194 0.243137 2.77253;0.574569 0.0317411 2.71013;-0.0494804 0.0608098 2.85473;0.593723 0.257942 2.59839;-0.0938876 0.237876 2.69876;0.590853 0.290886 2.57455;-0.110701 0.30184 2.67493;0.494381 -1.29158 2.67823;0.0821142 -1.28532 2.70304;3;
1525195535900;0.251907 0.476221 2.68051;0.259424 0.314871 2.70348;0.260569 0.237677 2.70946;0.263048 0.00215035 2.71741;0.264567 -0.318367 2.71784;0.439188 0.2421 2.71064;0.0872232 0.244084 2.77632;0.571157 0.0352127 2.71064;-0.0303648 0.0532827 2.86899;0.593762 0.263355 2.59622;-0.0987647 0.231276 2.71923;0.589575 0.294152 2.57487;-0.115514 0.291945 2.69974;0.495059 -1.2921 2.67905;0.081858 -1.28662 2.70529;4;
1525195536097;0.251451 0.47617 2.68054;0.258869 0.315141 2.70374;0.260051 0.237897 2.70982;0.262575 0.00217518 2.71813;0.26427 -0.318766 2.71931;0.438145 0.242099 2.71013;0.0871112 0.243414 2.77907;0.569473 0.0367624 2.71013;-0.0177722 0.0467276 2.88093;0.592269 0.266486 2.59462;-0.0985559 0.226954 2.72941;0.582119 0.294853 2.56833;-0.116087 0.288563 2.70826;0.495063 -1.29216 2.67883;0.0814664 -1.28627 2.70443;5;
1525195536150;0.25086 0.475549 2.68;0.258193 0.315242 2.70399;0.259418 0.237955 2.71019;0.26198 0.00201565 2.71906;0.26392 -0.31942 2.72137;0.43768 0.242087 2.71005;0.0870859 0.242649 2.78151;0.568851 0.0388153 2.71005;-0.015183 0.0457036 2.88364;0.587086 0.2687 2.59305;-0.0985758 0.224964 2.73386;0.580049 0.296776 2.56136;-0.116287 0.285209 2.71343;0.495029 -1.29205 2.67878;0.0815812 -1.28599 2.70413;6;
1525195536618;0.251071 0.475671 2.66843;0.259165 0.316891 2.69591;0.260223 0.238913 2.70432;0.262391 0.00173499 2.71761;0.264333 -0.320504 2.72174;0.436478 0.24145 2.69611;0.0881439 0.242705 2.78135;0.58239 0.0403762 2.69611;0.000172758 0.0435728 2.88876;0.577666 0.252565 2.5708;-0.0995043 0.218443 2.74438;0.568978 0.292493 2.52162;-0.121105 0.274422 2.72411;0.495128 -1.29216 2.67883;0.0814924 -1.28645 2.70176;7;
1525195536765;0.250549 0.473477 2.65919;0.259492 0.316507 2.6897;0.260613 0.238556 2.69832;0.26291 0.00111856 2.7135;0.264784 -0.321235 2.72057;0.436572 0.241495 2.69606;0.0893587 0.242603 2.78004;0.588388 0.0391999 2.69606;0.00136632 0.0430904 2.88846;0.578 0.231022 2.5603;-0.099766 0.216982 2.74573;0.57001 0.292868 2.52388;-0.12133 0.276886 2.71705;0.495396 -1.29232 2.67855;0.0817836 -1.28661 2.70208;8;
1525195536865;0.25045 0.474301 2.6563;0.259698 0.317421 2.687;0.260857 0.239425 2.6955;0.263281 0.00155322 2.7107;0.265263 -0.321526 2.71882;0.436122 0.241667 2.69081;0.0901285 0.24256 2.77728;0.578454 0.0486137 2.69081;0.00130106 0.0429195 2.88818;0.56971 0.257985 2.56077;-0.100036 0.216498 2.7452;0.569995 0.290623 2.522;-0.124853 0.275934 2.71092;0.495406 -1.29233 2.67853;0.0814994 -1.2864 2.702;9;
1525195537299;0.25294 0.470447 2.64157;0.259097 0.31557 2.67687;0.260272 0.237823 2.68492;0.262814 0.000467881 2.69909;0.265113 -0.322193 2.70729;0.435638 0.240145 2.68212;0.0888148 0.24464 2.76105;0.575721 0.0482003 2.68212;-0.0085407 0.0433996 2.86743;0.572805 0.259019 2.55972;-0.105733 0.211836 2.71686;0.576674 0.288909 2.52315;-0.124596 0.283525 2.67208;0.49544 -1.29253 2.67832;0.0814748 -1.2867 2.70048;10;
1525195537398;0.253648 0.469305 2.63521;0.25786 0.314473 2.67018;0.259156 0.236886 2.6786;0.262053 -0.000164933 2.69387;0.264778 -0.322624 2.70343;0.435173 0.239908 2.67821;0.0875143 0.245273 2.753;0.57302 0.0474661 2.67821;-0.0139284 0.0464784 2.85951;0.575071 0.258941 2.55846;-0.106957 0.214212 2.70851;0.57751 0.288868 2.52018;-0.124508 0.281991 2.66269;0.49556 -1.2925 2.67816;0.0811807 -1.28674 2.70097;11;
1525195537616;0.248163 0.469827 2.62966;0.257159 0.314446 2.66659;0.258497 0.236866 2.67501;0.261544 -0.000230531 2.69036;0.264513 -0.322826 2.70013;0.433385 0.240179 2.67401;0.0859201 0.245296 2.74782;0.570766 0.0458057 2.67401;-0.0161075 0.0470641 2.85297;0.576606 0.258816 2.55838;-0.106518 0.216279 2.69643;0.579309 0.290944 2.51999;-0.120154 0.283126 2.65327;0.495484 -1.29243 2.67814;0.0812823 -1.28613 2.701;12;
1525195537785;0.243812 0.4711 2.62653;0.255109 0.314883 2.66248;0.256635 0.237222 2.671;0.260231 -0.000158237 2.68668;0.263879 -0.323153 2.69685;0.431255 0.240269 2.66879;0.0838243 0.243931 2.74311;0.5653 0.0436852 2.66879;-0.0174426 0.0455488 2.84916;0.576515 0.262034 2.55408;-0.107259 0.214255 2.69277;0.572576 0.289368 2.51709;-0.125235 0.280871 2.65077;0.495636 -1.29215 2.67827;0.0812689 -1.28596 2.70101;13;
1525195537829;0.240775 0.472064 2.62485;0.2535 0.315211 2.65952;0.255203 0.237516 2.66817;0.259311 2.5099e-06 2.68418;0.263576 -0.323188 2.69477;0.430033 0.240779 2.66638;0.0826906 0.243668 2.74097;0.563866 0.0428603 2.66638;-0.0175967 0.0445325 2.84726;0.576447 0.263752 2.55132;-0.108038 0.21318 2.69013;0.571442 0.289091 2.51516;-0.126657 0.281121 2.64729;0.495561 -1.29207 2.67852;0.0812025 -1.28531 2.70103;14;
1525195538098;0.229079 0.483205 2.63121;0.251985 0.323711 2.64759;0.253871 0.244527 2.65792;0.258499 0.00328289 2.67825;0.26331 -0.322877 2.69276;0.427218 0.242492 2.65815;0.0811684 0.243706 2.73341;0.563467 0.0413994 2.65815;-0.0177376 0.0468458 2.83474;0.57789 0.260948 2.54762;-0.107185 0.210684 2.68091;0.575246 0.283611 2.50597;-0.118324 0.274788 2.63145;0.495927 -1.29215 2.67845;0.0810496 -1.28515 2.70118;15;
1525195538351;0.227563 0.48415 2.63107;0.252017 0.3248 2.64356;0.253686 0.245749 2.65388;0.25772 0.00455124 2.67463;0.262104 -0.32229 2.69058;0.426652 0.242874 2.65349;0.0808232 0.246289 2.72546;0.56149 0.0381343 2.65349;-0.0222485 0.0550003 2.82092;0.581679 0.257301 2.54727;-0.105281 0.212837 2.66956;0.588014 0.280366 2.51098;-0.11772 0.282922 2.62139;0.496557 -1.29212 2.67743;0.0809405 -1.28472 2.70074;16;
1525195538416;0.225999 0.485069 2.62968;0.25161 0.324858 2.63856;0.253107 0.245983 2.64897;0.256659 0.00509965 2.67015;0.260539 -0.321846 2.68716;0.42633 0.242767 2.65128;0.0806006 0.248041 2.71923;0.561255 0.0345885 2.65128;-0.0231755 0.0559037 2.81778;0.582929 0.256079 2.5461;-0.105329 0.214462 2.66292;0.588143 0.280302 2.50996;-0.115624 0.279492 2.61854;0.49645 -1.2921 2.6763;0.0813754 -1.28419 2.70056;17;
1525195538526;0.225414 0.485174 2.62934;0.251225 0.324514 2.63827;0.252749 0.245722 2.64863;0.256336 0.00501982 2.66957;0.260247 -0.321756 2.68621;0.426063 0.242488 2.65043;0.0804304 0.248283 2.71819;0.558907 0.0339626 2.65043;-0.0234994 0.0564117 2.8161;0.584607 0.254989 2.54644;-0.105391 0.214896 2.66077;0.588555 0.281679 2.51312;-0.116967 0.281042 2.62071;0.496268 -1.29152 2.67601;0.0812571 -1.28385 2.70044;18;
1525195538549;0.224895 0.485621 2.62889;0.251457 0.325105 2.63675;0.25288 0.246272 2.64726;0.256229 0.00538911 2.66868;0.259956 -0.32168 2.68588;0.425899 0.242338 2.65016;0.0803375 0.24835 2.71809;0.557361 0.0335295 2.65016;-0.0234571 0.0568654 2.81545;0.584993 0.254607 2.54675;-0.105237 0.214599 2.6597;0.588242 0.281389 2.51552;-0.117216 0.282125 2.61985;0.496141 -1.29115 2.67556;0.0810281 -1.28352 2.70033;19;
1525195538588;0.224634 0.485726 2.62863;0.251319 0.325212 2.63655;0.252728 0.246406 2.64705;0.256042 0.00557677 2.66845;0.259733 -0.321532 2.68573;0.42575 0.242313 2.64995;0.0803152 0.248993 2.71673;0.556237 0.0333398 2.64995;-0.0237928 0.05731 2.81448;0.585184 0.254199 2.54715;-0.105295 0.21493 2.65841;0.588158 0.281767 2.51516;-0.117844 0.28103 2.61868;0.496015 -1.29084 2.67519;0.0810214 -1.28351 2.7003;20;
1525195538789;0.219551 0.484801 2.63087;0.248297 0.324701 2.63786;0.250302 0.246078 2.64815;0.254993 0.00558028 2.6691;0.259575 -0.321439 2.68607;0.424971 0.242753 2.65038;0.0792388 0.249151 2.71724;0.55286 0.0332753 2.65038;-0.0239979 0.0574956 2.81437;0.584669 0.251496 2.55349;-0.105392 0.215031 2.65774;0.585162 0.285455 2.52492;-0.11807 0.281278 2.61888;0.496608 -1.29086 2.6748;0.0808138 -1.28335 2.70022;21;
1525195539033;0.217264 0.484916 2.64002;0.244245 0.32478 2.64172;0.246743 0.246157 2.65186;0.252879 0.00565296 2.67236;0.259064 -0.321479 2.68908;0.420446 0.243809 2.65573;0.0753402 0.247732 2.72253;0.552192 0.0336068 2.65573;-0.0209411 0.055024 2.82308;0.581356 0.256499 2.55992;-0.108009 0.212236 2.66463;0.575663 0.290736 2.53668;-0.125894 0.277021 2.64181;0.497372 -1.29209 2.67429;0.0811822 -1.28279 2.70089;22;
1525195539085;0.21721 0.485326 2.6425;0.241155 0.32504 2.64452;0.244103 0.246341 2.65459;0.251516 0.00564171 2.67491;0.25924 -0.321794 2.69175;0.418956 0.244465 2.65777;0.0738039 0.246764 2.72473;0.547233 0.0661734 2.65777;-0.019563 0.0532235 2.82931;0.576421 0.267544 2.54261;-0.110631 0.209996 2.67075;0.570193 0.290717 2.53797;-0.131836 0.27387 2.64766;0.497502 -1.29218 2.67489;0.0813605 -1.28298 2.70107;23;
